ID,Fleet,Status,GrossAmount,TripAdjusted,DiscountApplied,ExistingPassenger
357888,Discount Cab,Meter Off,10,No,10,Yes
357887,Discount Cab,Meter Off,9,No,0,Yes
357886,Discount Cab,Meter Off,21,No,0,Yes
357885,Discount Cab,Meter Off,10,No,0,Yes
357884,Discount Cab,Meter Off,36,No,20,No
357883,Discount Cab,Meter Off,0,Yes,0,Yes
357882,RideShare,Meter Off,8,No,0,Yes
357881,RideShare,Meter Off,2,No,10,Yes
357880,Discount Cab,Cancelled,10,No,,
357879,Discount Cab,Meter Off,0,No,20,No
357878,Discount Cab,Meter Off,25,No,0,Yes
357877,Discount Cab,Meter Off,16,No,10,No
357876,Accessible Van,Unable To Match,0,No,,
357875,Discount Cab,Cancelled,10,No,,
357874,Discount Cab,Cancelled,0,No,,
357873,RideShare,Meter Off,6,No,0,Yes
357872,RideShare,Meter Off,6,No,0,Yes
357871,RideShare,Meter Off,0,No,18,No
357870,Discount Cab,Meter Off,0,Yes,0,Yes
357869,RideShare,Meter Off,14,No,0,Yes
357868,RideShare,Meter Off,0,No,11,No
357867,Van,Meter Off,32,No,0,Yes
357866,Discount Cab,Meter Off,13,No,0,Yes
357865,Discount Cab,Cancelled,0,No,,
357864,Discount Cab,Meter Off,21,No,0,Yes
357863,Discount Cab,Meter Off,11,No,0,Yes
357862,Discount Cab,Meter Off,22,No,0,Yes
357861,RideShare,Meter Off,0,No,9,Yes
357860,RideShare,Meter Off,10,No,10,No
357859,Discount Cab,Meter Off,70,No,0,Yes
357858,Discount Cab,Meter Off,4,No,10,No
357857,Discount Cab,Unable To Auth,0,No,,
357856,Discount Cab,Meter Off,0,No,9,No
357855,RideShare,Meter Off,9,No,0,Yes
357854,Discount Cab,Meter Off,41,No,0,Yes
357853,Discount Cab,Meter Off,15,No,0,Yes
357852,Discount Cab,Meter Off,31,No,0,Yes
357851,RideShare,Cancelled,10,No,,
357850,Discount Cab,Meter Off,13,No,0,Yes
357849,Discount Cab,Meter Off,25,No,0,Yes
357848,RideShare,Meter Off,2,No,10,No
357847,Discount Cab,Meter Off,30,No,0,Yes
357846,Discount Cab,Meter Off,18,No,0,Yes
357845,Discount Cab,Meter Off,16,No,0,Yes
357844,Discount Cab,Meter Off,9,No,0,Yes
357843,Accessible Van,Meter Off,31,No,0,Yes
357842,Black,Meter Off,0,No,17,No
357841,RideShare,Meter Off,5,No,10,Yes
357840,Discount Cab,Meter Off,35,No,0,Yes
357839,RideShare,Unable To Match,0,No,,
357838,RideShare,Unable To Match,0,No,,
357837,Discount Cab,Meter Off,9,No,0,Yes
357836,RideShare,Meter Off,20,No,0,Yes
357835,Discount Cab,Meter Off,10,No,20,No
357834,Discount Cab,Meter Off,17,No,0,Yes
357833,Black,Cancelled,0,No,,
357832,RideShare,Cancelled,10,No,,
357831,RideShare,Meter Off,20,No,0,Yes
357830,RideShare,Unable To Match,0,No,,
357829,RideShare,Meter Off,41,No,0,Yes
357828,RideShare,Cancelled,0,No,,
357827,RideShare,Meter Off,8,No,0,Yes
357826,Discount Cab,Meter Off,13,No,0,Yes
357825,Discount Cab,Meter Off,6,No,10,Yes
357824,Discount Cab,Meter Off,11,No,0,Yes
357823,Discount Cab,Meter Off,16,No,0,Yes
357822,RideShare,Meter Off,18,No,0,Yes
357821,Discount Cab,Meter Off,9,No,10,No
357820,Discount Cab,Cancelled,0,Yes,,
357819,Discount Cab,Meter Off,10,No,10,Yes
357818,Discount Cab,Unable To Match,0,No,,
357817,Discount Cab,Meter Off,9,No,10,Yes
357816,Discount Cab,Unable To Match,0,No,,
357815,Discount Cab,Meter Off,12,No,0,Yes
357814,Discount Cab,Meter Off,13,No,0,Yes
357813,RideShare,Unable To Match,0,No,,
357812,Discount Cab,Cancelled,0,No,,
357811,RideShare,Meter Off,24,No,0,Yes
357810,Discount Cab,Meter Off,7,No,10,Yes
357809,RideShare,Meter Off,13,No,0,Yes
357808,Discount Cab,Unable To Match,0,No,,
357807,RideShare,Meter Off,9,No,0,Yes
357806,Discount Cab,Unable To Match,0,No,,
357805,RideShare,Meter Off,11,No,0,Yes
357804,Discount Cab,Meter Off,6,No,10,No
357803,Discount Cab,Meter Off,60,No,0,Yes
357802,Discount Cab,Unable To Match,0,No,,
357801,Discount Cab,Unable To Match,0,No,,
357800,Discount Cab,Meter Off,5,No,10,No
357799,Discount Cab,Unable To Match,0,No,,
357798,Discount Cab,Unable To Auth,0,No,,
357797,Discount Cab,Unable To Auth,0,No,,
357796,Discount Cab,Meter Off,7,No,20,No
357795,Discount Cab,Meter Off,21,No,0,Yes
357794,Discount Cab,Unable To Match,0,No,,
357793,Discount Cab,Unable To Match,0,No,,
357792,Discount Cab,Unable To Match,0,No,,
357791,Discount Cab,Meter Off,12,No,0,Yes
357790,RideShare,Meter Off,14,No,0,Yes
357789,Discount Cab,Meter Off,4,No,10,Yes
357788,Discount Cab,Unable To Match,0,No,,
357787,Discount Cab,Unable To Match,0,No,,
357786,Discount Cab,Meter Off,0,Yes,0,Yes
357785,SUV,Unable To Match,0,No,,
357784,Discount Cab,Meter Off,11,No,0,Yes
357783,Discount Cab,Cancelled,0,No,,
357782,RideShare,Cancelled,0,No,,
357781,RideShare,Meter Off,20,No,0,Yes
357780,Black,Unable To Match,0,No,,
357779,RideShare,Unable To Auth,0,No,,
357778,Discount Cab,Cancelled,0,No,,
357777,Discount Cab,Meter Off,10,No,0,Yes
357776,Discount Cab,Meter Off,20,No,0,Yes
357775,RideShare,Meter Off,6,No,0,Yes
357774,RideShare,Unable To Match,0,No,,
357773,Discount Cab,Cancelled,0,No,,
357772,Discount Cab,Meter Off,26,No,0,Yes
357771,RideShare,Meter Off,11,No,10,No
357770,RideShare,Unable To Match,0,No,,
357769,RideShare,Meter Off,0,No,13,No
357768,Discount Cab,Cancelled,0,No,,
357767,RideShare,Meter Off,22,No,0,Yes
357766,Accessible Van,Unable To Match,0,No,,
357765,Discount Cab,Cancelled,0,No,,
357764,Discount Cab,Meter Off,25,No,0,Yes
357763,RideShare,Meter Off,12,No,0,Yes
357762,Discount Cab,Cancelled,0,No,,
357761,Discount Cab,Meter Off,15,No,10,Yes
357760,RideShare,Meter Off,8,No,10,Yes
357759,RideShare,Unable To Match,0,No,,
357758,RideShare,Meter Off,25,Yes,0,Yes
357757,Discount Cab,Meter Off,10,No,0,Yes
357756,RideShare,Cancelled,0,No,,
357755,Discount Cab,Meter Off,3,No,10,Yes
357754,Discount Cab,Meter Off,11,No,0,Yes
357753,RideShare,Unable To Auth,0,No,,
357752,Discount Cab,Unable To Match,0,No,,
357751,RideShare,Cancelled,10,No,,
357750,Black,Meter Off,0,No,19,Yes
357749,Discount Cab,Meter Off,4,No,10,Yes
357748,Discount Cab,Meter Off,29,No,0,Yes
357747,Discount Cab,Unable To Match,0,No,,
357746,Discount Cab,Meter Off,0,No,8,Yes
357745,Discount Cab,Meter Off,6,No,20,No
357744,RideShare,Meter Off,18,No,0,Yes
357743,Discount Cab,Meter Off,7,No,10,Yes
357742,Discount Cab,Unable To Match,0,No,,
357741,Black,Meter Off,0,No,25,Yes
357740,Cab,Cancelled,0,No,,
357739,Discount Cab,Meter Off,22,No,0,Yes
357738,Discount Cab,Unable To Match,0,No,,
357737,RideShare,Meter Off,15,No,0,Yes
357736,RideShare,Unable To Auth,0,No,,
357735,RideShare,Unable To Auth,0,No,,
357734,Discount Cab,Meter Off,12,No,0,Yes
357733,Discount Cab,Meter Off,28,No,10,No
357732,Discount Cab,Cancelled,0,No,,
357731,RideShare,Meter Off,3,No,10,Yes
357730,Black,Meter Off,0,No,24,Yes
